Property,pheno<==>pheno,microbe<==>pheno,microbe<==>microbe
PUC (%),0.0,0.0,7.95
Mean degree,3.7777777777777777,1.6666666666666667,11.25
Edges in network over edges in full graph (%),NA,NA,15.85
Observed positive:negative edge ratio,NA,0.0,5.044776119402985
Expected positive:negative edge ratio,NA,NA,2.33
Deviation from expected positive:negative edge ratio in full graph,NA,NA,1.17
Positive nodes,9,2,13.0
Negative nodes,0,4,59.0
Total nodes,9,6,72.0
Positive edges,17,0,338.0
Negative edges,0,5,67.0
Total edges,17,5,405.0
