Node,Observed degree, Observed BiBC, Probability
OTU_259506,25.0,310.30269056135967,0.0%
HOMA-IR,8.0,303.199137302756,0.0%
fasting leptin,7.0,207.8918105350957,0.0%
OTU_272092,17.0,122.01412074409356,0.0%
OTU_182712,14.0,94.7828020133749,0.0%
OTU_262104,14.0,94.5138684665583,0.0%
120min glucose,5.0,74.77102707234236,0.0%
GTT-AUC,4.0,71.99999999999949,0.0%
fasting glucose from HOMA serum,4.0,46.64904914529932,0.0%
OTU_264155,17.0,31.67784160284167,10.0%
fasting glucose from GTT,4.0,28.121977927043822,90.0%
OTU_191274,9.0,20.55774410774411,100.0%
OTU_272889,23.0,19.020474895474894,0.0%
OTU_194151,9.0,18.68426480926482,100.0%
OTU_206324,11.0,16.67400932400933,100.0%
OTU_268492,26.0,14.122587659158862,0.0%
OTU_270200,9.0,9.846852221852224,100.0%
OTU_193064,17.0,9.812861968183157,20.0%
OTU_264846,10.0,9.60849464862622,100.0%
OTU_539647,19.0,9.121278721278712,10.0%
OTU_191067,3.0,9.0,100.0%
OTU_134762,6.0,8.999999999999991,100.0%
OTU_203713,7.0,7.298601398601392,100.0%
OTU_166911,11.0,7.09297369297369,100.0%
OTU_259993,11.0,7.09297369297369,100.0%
OTU_185177,14.0,6.175673765805346,80.0%
OTU_261132,18.0,6.063327547209124,10.0%
OTU_182764,11.0,5.872527472527469,100.0%
OTU_187233,11.0,5.859457209457207,100.0%
OTU_346804,15.0,5.839620138633295,80.0%
OTU_179703,13.0,5.508163267044848,100.0%
OTU_349246,21.0,4.957653719689322,0.0%
OTU_344703,14.0,4.886435683339708,80.0%
OTU_268063,17.0,4.671896062027639,20.0%
OTU_320249,14.0,4.369238534370112,80.0%
OTU_331013,14.0,4.362873499909103,80.0%
OTU_269037,12.0,3.929209972031181,100.0%
OTU_1129461,16.0,3.614860139860141,30.0%
OTU_129394,14.0,3.126140526140527,80.0%
OTU_460611,11.0,2.744366641270666,100.0%
OTU_180362,11.0,2.6349260818301072,100.0%
OTU_265011,11.0,2.5807109557109555,100.0%
OTU_297143,8.0,2.5384615384615383,100.0%
OTU_273737,15.0,2.2645700489740737,80.0%
OTU_191811,10.0,2.073388648388649,100.0%
OTU_229452,12.0,1.9655455655455656,100.0%
OTU_4345268,9.0,1.954942645074224,100.0%
OTU_174320,8.0,1.8849668849668848,100.0%
OTU_272758,11.0,1.8742479742479743,100.0%
OTU_1902400,13.0,1.6348630536130535,100.0%
OTU_4468805,10.0,1.4566849816849814,100.0%
OTU_261142,16.0,1.3658920091776126,30.0%
OTU_176154,8.0,1.2692307692307692,100.0%
OTU_197099,14.0,1.259146306050331,80.0%
OTU_309916,6.0,0.9929292929292928,100.0%
OTU_193672,12.0,0.7426647426647428,100.0%
OTU_170950,11.0,0.5277301710157747,100.0%
OTU_266946,11.0,0.4772727272727272,100.0%
OTU_631764,7.0,0.4772727272727272,100.0%
OTU_261590,10.0,0.1856661856661856,100.0%
OTU_196191,17.0,0.0,20.0%
OTU_4448052,16.0,0.0,30.0%
OTU_261016,12.0,0.0,100.0%
OTU_185222,10.0,0.0,100.0%
OTU_191616,10.0,0.0,100.0%
OTU_1995182,10.0,0.0,100.0%
OTU_549756,10.0,0.0,100.0%
OTU_324888,9.0,0.0,100.0%
OTU_187962,8.0,0.0,100.0%
OTU_198209,6.0,0.0,100.0%
OTU_264225,6.0,0.0,100.0%
OTU_198194,4.0,0.0,100.0%
Body weight,3.0,0.0,100.0%
OTU_230268,3.0,0.0,100.0%
OTU_324013,3.0,0.0,100.0%
fasting insulin,3.0,0.0,100.0%
OTU_264734,2.0,0.0,100.0%
OTU_188225,1.0,0.0,100.0%
OTU_288680,1.0,0.0,100.0%
OTU_445144,1.0,0.0,100.0%
fed glucose,1.0,0.0,100.0%
